Month,Year,Month_num,AustralianPort,Country,ForeignPort,Passengers_In,Passengers_Out
Jan-00,2000,January,Adelaide,USA,Atlanta,0,0
Jan-00,2000,January,Adelaide,New Zealand,Auckland,60,114
Jan-00,2000,January,Adelaide,Thailand,Bangkok,1,0
Jan-00,2000,January,Adelaide,India,Bombay,29,1
Jan-00,2000,January,Adelaide,Argentina,Buenos Aires,12,0
Jan-00,2000,January,Adelaide,USA,Chicago,0,0
Jan-00,2000,January,Adelaide,New Zealand,Christchurch,18,0
Jan-00,2000,January,Adelaide,Indonesia,Denpasar,977,768
Jan-00,2000,January,Adelaide,Germany,Frankfurt,418,322
Jan-00,2000,January,Adelaide,Zimbabwe,Harare,0,0
Jan-00,2000,January,Adelaide,Hong Kong,Hong Kong,1243,897
Jan-00,2000,January,Adelaide,USA,Honolulu,30,0
Jan-00,2000,January,Adelaide,Indonesia,Jakarta,9,0
Jan-00,2000,January,Adelaide,South Africa,Johannesburg,0,0
Jan-00,2000,January,Adelaide,Malaysia,Kuala Lumpur,3618,3080
Jan-00,2000,January,Adelaide,UK,London,807,501
Jan-00,2000,January,Adelaide,USA,Los Angeles,75,17
Jan-00,2000,January,Adelaide,Philippines,Manila,1,0
Jan-00,2000,January,Adelaide,Fiji,Nadi,14,7
Jan-00,2000,January,Adelaide,Japan,Nagoya,12,0
Jan-00,2000,January,Adelaide,USA,New York,5,0
Jan-00,2000,January,Adelaide,Japan,Osaka,4,0
Jan-00,2000,January,Adelaide,Tahiti,Papeete,0,0
Jan-00,2000,January,Adelaide,France,Paris,68,1
Jan-00,2000,January,Adelaide,Papua New Guinea,Port Moresby,0,0
Jan-00,2000,January,Adelaide,Vanuatu,Port Vila,6,0
Jan-00,2000,January,Adelaide,Italy,Rome,0,0
Jan-00,2000,January,Adelaide,China,Shanghai,5,0
Jan-00,2000,January,Adelaide,Singapore,Singapore,5143,4436
Jan-00,2000,January,Adelaide,Taiwan,Taipei,0,0
Jan-00,2000,January,Adelaide,Japan,Tokyo,9,0
Jan-00,2000,January,Adelaide,Canada,Toronto,0,0
Jan-00,2000,January,Adelaide,Canada,Vancouver,5,0
Jan-00,2000,January,Adelaide,New Zealand,Wellington,3,0
Jan-00,2000,January,Adelaide,Switzerland,Zurich,28,14
Jan-00,2000,January,Brisbane,Western Samoa,Apia,1,0
Jan-00,2000,January,Brisbane,USA,Atlanta,0,0
Jan-00,2000,January,Brisbane,New Zealand,Auckland,17259,17728
Jan-00,2000,January,Brisbane,Brunei,Bandar Seri Begawan,1323,1717
Jan-00,2000,January,Brisbane,Thailand,Bangkok,1839,2200
Jan-00,2000,January,Brisbane,India,Bombay,0,19
Jan-00,2000,January,Brisbane,Argentina,Buenos Aires,150,30
Jan-00,2000,January,Brisbane,USA,Chicago,0,0
