AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL
ADELAIDE,2000,1,152690,151419,304109,12600,10158,22758
ADELAIDE,2000,2,148268,148009,296277,12498,8095,20593
ADELAIDE,2000,3,171672,175963,347635,10494,10812,21306
ADELAIDE,2000,4,168893,170467,339360,11000,12737,23737
ADELAIDE,2000,5,160803,164203,325006,7765,10890,18655
ADELAIDE,2000,6,161061,159602,320663,9452,9579,19031
ADELAIDE,2000,7,162464,161958,324422,13181,12116,25297
ADELAIDE,2000,8,166852,166670,333522,11577,11424,23001
ADELAIDE,2000,9,172638,180314,352952,12581,11343,23924
ADELAIDE,2000,10,182398,170610,353008,13840,9895,23735
ADELAIDE,2000,11,161199,159817,321016,12124,10650,22774
ADELAIDE,2000,12,174796,170393,345189,12423,12865,25288
ADELAIDE,2001,1,178842,182742,361584,12908,11239,24147
ADELAIDE,2001,2,153902,151966,305868,10674,8310,18984
ADELAIDE,2001,3,184779,186217,370996,9991,10080,20071
ADELAIDE,2001,4,188110,192650,380760,9402,10934,20336
ADELAIDE,2001,5,183637,185569,369206,7358,10058,17416
ADELAIDE,2001,6,179919,180333,360252,9350,9540,18890
ADELAIDE,2001,7,202476,201088,403564,11404,10468,21872
ADELAIDE,2001,8,186452,189084,375536,9823,9193,19016
ADELAIDE,2001,9,159439,158795,318234,10938,9440,20378
ADELAIDE,2001,10,159531,155173,314704,12933,9145,22078
ADELAIDE,2001,11,153176,153714,306890,9686,8967,18653
ADELAIDE,2001,12,157935,156951,314886,9894,10109,20003
ADELAIDE,2002,1,158681,159105,317786,10638,9181,19819
ADELAIDE,2002,2,153111,150565,303676,9245,7261,16506
ADELAIDE,2002,3,175081,175524,350605,9520,9248,18768
ADELAIDE,2002,4,160797,163575,324372,8064,9920,17984
ADELAIDE,2002,5,161306,162698,324004,7399,9532,16931
ADELAIDE,2002,6,146834,144196,291030,8463,9154,17617
ADELAIDE,2002,7,169272,169260,338532,11119,9866,20985
ADELAIDE,2002,8,165574,166644,332218,10171,9170,19341
ADELAIDE,2002,9,171831,174070,345901,10182,9382,19564
ADELAIDE,2002,10,188974,184900,373874,11179,8100,19279
ADELAIDE,2002,11,171460,171331,342791,9875,7582,17457
ADELAIDE,2002,12,173159,176362,349521,9593,10507,20100
ADELAIDE,2003,1,171655,172757,344412,11042,9146,20188
ADELAIDE,2003,2,160695,160604,321299,9785,6665,16450
ADELAIDE,2003,3,182599,185091,367690,8401,8183,16584
ADELAIDE,2003,4,175685,177760,353445,6541,7098,13639
ADELAIDE,2003,5,174160,174837,348997,4880,6339,11219
ADELAIDE,2003,6,162027,163001,325028,5811,6511,12322
ADELAIDE,2003,7,186092,184872,370964,9592,8398,17990
ADELAIDE,2003,8,183544,183635,367179,9165,8981,18146
ADELAIDE,2003,9,188388,190824,379212,9426,8703,18129
ADELAIDE,2003,10,213364,209598,422962,11750,7694,19444
ADELAIDE,2003,11,189252,189429,378681,10046,9603,19649
ADELAIDE,2003,12,201536,202690,404226,11138,11951,23089
ADELAIDE,2004,1,197163,197850,395013,13508,11289,24797
ADELAIDE,2004,2,188669,185407,374076,12530,8745,21275
ADELAIDE,2004,3,206191,209918,416109,10960,11578,22538
ADELAIDE,2004,4,197231,199357,396588,11267,11970,23237
ADELAIDE,2004,5,188099,190019,378118,8731,11527,20258
ADELAIDE,2004,6,179352,180766,360118,10254,11207,21461
ADELAIDE,2004,7,209844,210547,420391,14312,11764,26076
ADELAIDE,2004,8,202637,203068,405705,11938,11625,23563
ADELAIDE,2004,9,206313,212285,418598,12404,12436,24840
ADELAIDE,2004,10,220280,213944,434224,14912,10464,25376
ADELAIDE,2004,11,210371,209711,420082,11890,11101,22991
ADELAIDE,2004,12,209268,211595,420863,14349,15322,29671
ADELAIDE,2005,1,201002,202577,403579,16357,14082,30439
ADELAIDE,2005,2,199071,195713,394784,14947,10875,25822
ADELAIDE,2005,3,225952,228701,454653,14716,13922,28638
ADELAIDE,2005,4,220410,227696,448106,13485,14559,28044
ADELAIDE,2005,5,210948,211819,422767,11771,14314,26085
ADELAIDE,2005,6,199886,201150,401036,12830,13596,26426
ADELAIDE,2005,7,233287,234319,467606,16226,13907,30133
ADELAIDE,2005,8,224802,228638,453440,14766,13102,27868
ADELAIDE,2005,9,221138,224352,445490,13429,11769,25198
ADELAIDE,2005,10,243691,241434,485125,15960,12620,28580
ADELAIDE,2005,11,220297,221854,442151,13653,12548,26201
ADELAIDE,2005,12,220583,222357,442940,14431,16433,30864
ADELAIDE,2006,1,217797,217209,435006,16837,14519,31356
ADELAIDE,2006,2,205750,201411,407161,15580,10304,25884
ADELAIDE,2006,3,238973,241863,480836,14838,13676,28514
ADELAIDE,2006,4,233226,237898,471124,15941,17566,33507
ADELAIDE,2006,5,227121,229568,456689,13450,15116,28566
ADELAIDE,2006,6,215103,216769,431872,14554,15839,30393
ADELAIDE,2006,7,241672,243392,485064,20973,17547,38520
ADELAIDE,2006,8,236228,237747,473975,18345,17044,35389
ADELAIDE,2006,9,235685,237135,472820,18215,16346,34561
ADELAIDE,2006,10,257160,250871,508031,21877,15822,37699
ADELAIDE,2006,11,245908,240884,486792,18211,15523,33734
ADELAIDE,2006,12,238712,244231,482943,20208,22158,42366
ADELAIDE,2007,1,232631,234547,467178,22042,17928,39970
ADELAIDE,2007,2,220136,217088,437224,19381,14132,33513
ADELAIDE,2007,3,254122,257588,511710,20874,18490,39364
ADELAIDE,2007,4,244459,249317,493776,17956,20398,38354
ADELAIDE,2007,5,236339,237644,473983,14657,17770,32427
ADELAIDE,2007,6,223256,223278,446534,17277,18186,35463
ADELAIDE,2007,7,256624,258151,514775,21235,18685,39920
ADELAIDE,2007,8,249327,252099,501426,18744,17726,36470
