AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL
BRISBANE,2000,1,320011,322012,642023,107017,92287,199304
BRISBANE,2000,2,293369,293418,586787,99603,83005,182608
BRISBANE,2000,3,328007,326983,654990,100516,87502,188018
BRISBANE,2000,4,334736,339660,674396,110553,100105,210658
BRISBANE,2000,5,328586,329489,658075,96959,86004,182963
BRISBANE,2000,6,350502,349687,700189,106451,92973,199424
BRISBANE,2000,7,364944,363148,728092,125541,99036,224577
BRISBANE,2000,8,379268,387288,766556,111615,106425,218040
BRISBANE,2000,9,435073,431342,866415,101463,94868,196331
BRISBANE,2000,10,433057,433357,866414,115739,97650,213389
BRISBANE,2000,11,400478,405618,806096,111875,100639,212514
BRISBANE,2000,12,436170,424467,860637,122274,111278,233552
BRISBANE,2001,1,450298,469967,920265,125932,108112,234044
BRISBANE,2001,2,338280,345150,683430,100127,81302,181429
BRISBANE,2001,3,412365,411150,823515,106653,93629,200282
BRISBANE,2001,4,456387,464608,920995,115261,101408,216669
BRISBANE,2001,5,414664,418392,833056,98420,91054,189474
BRISBANE,2001,6,427295,425135,852430,116559,101832,218391
BRISBANE,2001,7,482402,487483,969885,137364,103190,240554
BRISBANE,2001,8,441741,450282,892023,119550,113153,232703
BRISBANE,2001,9,389028,392309,781337,117703,111430,229133
BRISBANE,2001,10,378078,384559,762637,112802,98633,211435
BRISBANE,2001,11,363866,363990,727856,91837,91037,182874
BRISBANE,2001,12,393651,384993,778644,106648,104084,210732
BRISBANE,2002,1,396832,417089,813921,109527,100027,209554
BRISBANE,2002,2,343655,346735,690390,98031,87700,185731
BRISBANE,2002,3,377957,376385,754342,105155,95557,200712
BRISBANE,2002,4,356947,364468,721415,96762,93619,190381
BRISBANE,2002,5,351704,353091,704795,92762,88673,181435
BRISBANE,2002,6,346921,353004,699925,102396,98871,201267
BRISBANE,2002,7,404843,401209,806052,125385,100731,226116
BRISBANE,2002,8,381406,386187,767593,113061,111913,224974
BRISBANE,2002,9,395624,394134,789758,108786,107761,216547
BRISBANE,2002,10,418367,427799,846166,119081,99545,218626
BRISBANE,2002,11,386074,387890,773964,106466,104668,211134
BRISBANE,2002,12,400403,394796,795199,113011,113594,226605
BRISBANE,2003,1,399945,414220,814165,120454,107391,227845
BRISBANE,2003,2,347217,352038,699255,100068,88166,188234
BRISBANE,2003,3,384550,384427,768977,94000,92890,186890
BRISBANE,2003,4,400219,398635,798854,90090,87917,178007
BRISBANE,2003,5,382577,377008,759585,78835,78635,157470
BRISBANE,2003,6,386029,392681,778710,89626,90844,180470
BRISBANE,2003,7,454814,452773,907587,125102,104246,229348
BRISBANE,2003,8,439136,437172,876308,107888,115826,223714
BRISBANE,2003,9,457554,452856,910410,115869,116536,232405
BRISBANE,2003,10,484916,486977,971893,126447,108154,234601
BRISBANE,2003,11,450096,450535,900631,120979,119738,240717
BRISBANE,2003,12,465771,453220,918991,133710,136033,269743
BRISBANE,2004,1,451144,464032,915176,145938,133521,279459
BRISBANE,2004,2,399493,400379,799872,123067,108439,231506
BRISBANE,2004,3,443845,443036,886881,118736,117430,236166
BRISBANE,2004,4,447526,449841,897367,126407,127522,253929
BRISBANE,2004,5,455167,453779,908946,111746,113873,225619
BRISBANE,2004,6,487534,486038,973572,125154,130083,255237
BRISBANE,2004,7,525960,520230,1046190,167410,137173,304583
BRISBANE,2004,8,518861,518738,1037599,139969,152497,292466
BRISBANE,2004,9,525569,519429,1044998,144519,148738,293257
BRISBANE,2004,10,531941,532369,1064310,156042,136006,292048
BRISBANE,2004,11,479936,482399,962335,137086,143505,280591
BRISBANE,2004,12,494880,487296,982176,156210,165410,321620
BRISBANE,2005,1,476811,485077,961888,172833,148247,321080
BRISBANE,2005,2,427048,424654,851702,137119,122375,259494
BRISBANE,2005,3,494050,494916,988966,142566,142294,284860
BRISBANE,2005,4,496980,489936,986916,140291,136337,276628
BRISBANE,2005,5,485899,481767,967666,125447,133992,259439
BRISBANE,2005,6,491185,488242,979427,144975,152816,297791
BRISBANE,2005,7,539245,536424,1075669,189482,151473,340955
BRISBANE,2005,8,522706,521713,1044419,153890,169943,323833
BRISBANE,2005,9,550868,539080,1089948,163503,156909,320412
BRISBANE,2005,10,548918,551949,1100867,160991,149945,310936
BRISBANE,2005,11,506546,508244,1014790,135876,147514,283390
BRISBANE,2005,12,525357,514994,1040351,160149,167723,327872
BRISBANE,2006,1,504222,512289,1016511,179252,152623,331875
BRISBANE,2006,2,440691,440713,881404,138900,126649,265549
BRISBANE,2006,3,506433,503723,1010156,136253,136404,272657
BRISBANE,2006,4,522638,519592,1042230,148833,152560,301393
BRISBANE,2006,5,510539,505398,1015937,129506,135405,264911
BRISBANE,2006,6,518436,518314,1036750,147740,155368,303108
BRISBANE,2006,7,585739,577747,1163486,195260,160619,355879
BRISBANE,2006,8,556298,556104,1112402,156937,174756,331693
BRISBANE,2006,9,574017,575981,1149998,170627,171001,341628
BRISBANE,2006,10,611639,608679,1220318,182072,162195,344267
BRISBANE,2006,11,569319,573220,1142539,150858,154736,305594
BRISBANE,2006,12,579869,571135,1151004,165788,178972,344760
BRISBANE,2007,1,556851,563418,1120269,186651,161832,348483
BRISBANE,2007,2,480880,477533,958413,149653,137565,287218
BRISBANE,2007,3,552568,548746,1101314,158937,155550,314487
BRISBANE,2007,4,563962,572267,1136229,157899,160567,318466
BRISBANE,2007,5,561731,559780,1121511,138687,142402,281089
BRISBANE,2007,6,556745,559675,1116420,152525,159817,312342
BRISBANE,2007,7,628929,618481,1247410,184506,165111,349617
BRISBANE,2007,8,610132,609503,1219635,163817,175834,339651
BRISBANE,2007,9,608255,603528,1211783,169900,178498,348398
BRISBANE,2007,10,649094,650621,1299715,181037,160564,341601
BRISBANE,2007,11,603788,604361,1208149,157226,161692,318918
BRISBANE,2007,12,622177,609311,1231488,170259,191223,361482
BRISBANE,2008,1,592205,603755,1195960,195038,164046,359084
BRISBANE,2008,2,530722,532512,1063234,160434,143781,304215
BRISBANE,2008,3,595855,594437,1190292,161086,160637,321723
BRISBANE,2008,4,583018,585281,1168299,152773,153127,305900
BRISBANE,2008,5,573008,571259,1144267,151828,154565,306393
BRISBANE,2008,6,563675,568988,1132663,158862,168991,327853
BRISBANE,2008,7,644222,634201,1278423,202987,171158,374145
BRISBANE,2008,8,616499,615182,1231681,170672,184812,355484
