AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL
CAIRNS,2000,1,74969,77009,151978,23591,24206,47797
CAIRNS,2000,2,68766,70218,138984,26080,23720,49800
CAIRNS,2000,3,77908,74469,152377,25976,28293,54269
CAIRNS,2000,4,83733,81871,165604,25685,25901,51586
CAIRNS,2000,5,81817,80717,162534,24323,27257,51580
CAIRNS,2000,6,93137,88277,181414,27172,25797,52969
CAIRNS,2000,7,99629,100779,200408,32551,30177,62728
CAIRNS,2000,8,102831,103926,206757,32279,35487,67766
CAIRNS,2000,9,98930,98331,197261,24942,27067,52009
CAIRNS,2000,10,100948,102358,203306,32754,29142,61896
CAIRNS,2000,11,94273,96497,190770,32630,32793,65423
CAIRNS,2000,12,88659,92661,181320,33287,29023,62310
CAIRNS,2001,1,86942,93079,180021,29986,29195,59181
CAIRNS,2001,2,66792,68751,135543,26454,24322,50776
CAIRNS,2001,3,83956,82159,166115,29354,29556,58910
CAIRNS,2001,4,90295,89082,179377,26027,27165,53192
CAIRNS,2001,5,83488,84024,167512,24651,27175,51826
CAIRNS,2001,6,92745,88592,181337,27756,27252,55008
CAIRNS,2001,7,107043,105953,212996,29037,28446,57483
CAIRNS,2001,8,99359,103004,202363,31795,34133,65928
CAIRNS,2001,9,76837,76931,153768,26640,27707,54347
CAIRNS,2001,10,72155,71607,143762,25650,24925,50575
CAIRNS,2001,11,73927,76171,150098,26151,26647,52798
CAIRNS,2001,12,75914,76387,152301,30451,24643,55094
CAIRNS,2002,1,72663,77322,149985,28140,28915,57055
CAIRNS,2002,2,65592,69309,134901,28950,25119,54069
CAIRNS,2002,3,81376,79454,160830,33218,31235,64453
CAIRNS,2002,4,80108,81251,161359,29253,29918,59171
CAIRNS,2002,5,80502,78574,159076,28581,30130,58711
CAIRNS,2002,6,87111,83316,170427,31758,29190,60948
CAIRNS,2002,7,103269,101612,204881,33028,31489,64517
CAIRNS,2002,8,102352,103651,206003,34601,38315,72916
CAIRNS,2002,9,95435,91084,186519,30969,32670,63639
CAIRNS,2002,10,98936,99129,198065,37340,32436,69776
CAIRNS,2002,11,90423,91004,181427,35324,36121,71445
CAIRNS,2002,12,87834,86336,174170,35910,33646,69556
CAIRNS,2003,1,83214,86166,169380,35904,34735,70639
CAIRNS,2003,2,70041,71162,141203,30925,30161,61086
CAIRNS,2003,3,80613,79654,160267,32065,34794,66859
CAIRNS,2003,4,85346,85705,171051,25439,27552,52991
CAIRNS,2003,5,85471,86450,171921,19872,20728,40600
CAIRNS,2003,6,92877,90182,183059,24576,23926,48502
CAIRNS,2003,7,106400,105555,211955,30875,27413,58288
CAIRNS,2003,8,104445,107698,212143,33926,34964,68890
CAIRNS,2003,9,105899,105095,210994,32204,33713,65917
CAIRNS,2003,10,106050,110315,216365,37089,32070,69159
CAIRNS,2003,11,97735,99030,196765,36673,35911,72584
CAIRNS,2003,12,100837,100626,201463,36271,34775,71046
CAIRNS,2004,1,97476,105594,203070,36512,33924,70436
CAIRNS,2004,2,77679,80087,157766,31776,28575,60351
CAIRNS,2004,3,89539,90388,179927,33226,32978,66204
CAIRNS,2004,4,101639,101778,203417,33354,32588,65942
CAIRNS,2004,5,101940,101511,203451,32391,33545,65936
CAIRNS,2004,6,114284,109924,224208,33390,32658,66048
CAIRNS,2004,7,129466,131067,260533,38695,33214,71909
CAIRNS,2004,8,127024,127915,254939,36293,41467,77760
CAIRNS,2004,9,118540,116277,234817,37392,35464,72856
CAIRNS,2004,10,118559,122517,241076,40935,37819,78754
CAIRNS,2004,11,104582,109183,213765,39793,39791,79584
CAIRNS,2004,12,103297,102325,205622,36863,34203,71066
CAIRNS,2005,1,100664,105591,206255,39113,37860,76973
