AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL
GOLD COAST,2000,1,96104,101751,197855,701,602,1303
GOLD COAST,2000,2,70442,77352,147794,641,565,1206
GOLD COAST,2000,3,77682,80019,157701,862,656,1518
GOLD COAST,2000,4,77186,82481,159667,1422,1287,2709
GOLD COAST,2000,5,67987,69974,137961,1040,812,1852
GOLD COAST,2000,6,76324,74566,150890,1616,1252,2868
GOLD COAST,2000,7,74069,73852,147921,1513,1428,2941
GOLD COAST,2000,8,74701,77624,152325,1552,1422,2974
GOLD COAST,2000,9,80469,79768,160237,1771,1552,3323
GOLD COAST,2000,10,74081,76593,150674,1525,1662,3187
GOLD COAST,2000,11,66798,70537,137335,815,882,1697
GOLD COAST,2000,12,79916,77296,157212,1140,1420,2560
GOLD COAST,2001,1,89274,95226,184500,1916,1456,3372
GOLD COAST,2001,2,63719,69937,133656,925,1358,2283
GOLD COAST,2001,3,83185,83592,166777,1250,1028,2278
GOLD COAST,2001,4,76290,78902,155192,1652,1624,3276
GOLD COAST,2001,5,72375,76344,148719,1597,1243,2840
GOLD COAST,2001,6,80222,79439,159661,1674,1394,3068
GOLD COAST,2001,7,84294,84761,169055,1725,1702,3427
GOLD COAST,2001,8,79610,82342,161952,1506,1567,3073
GOLD COAST,2001,9,66079,65851,131930,1932,1925,3857
GOLD COAST,2001,10,55802,59036,114838,1599,1855,3454
GOLD COAST,2001,11,61544,62176,123720,2024,2030,4054
GOLD COAST,2001,12,72227,69824,142051,3131,3468,6599
GOLD COAST,2002,1,75993,81268,157261,3720,3810,7530
GOLD COAST,2002,2,60523,65176,125699,2875,2736,5611
GOLD COAST,2002,3,70604,70324,140928,4248,3690,7938
GOLD COAST,2002,4,66459,68343,134802,3681,3512,7193
GOLD COAST,2002,5,61235,62536,123771,3808,3370,7178
GOLD COAST,2002,6,71822,71342,143164,3773,3146,6919
GOLD COAST,2002,7,90261,91009,181270,4771,4547,9318
GOLD COAST,2002,8,84527,86575,171102,4422,4619,9041
GOLD COAST,2002,9,91867,89528,181395,4888,5130,10018
GOLD COAST,2002,10,95704,98753,194457,5058,5222,10280
GOLD COAST,2002,11,77199,79050,156249,7588,7171,14759
GOLD COAST,2002,12,91110,86626,177736,7984,9358,17342
GOLD COAST,2003,1,95798,100198,195996,5116,5388,10504
GOLD COAST,2003,2,75336,76214,151550,4336,4215,8551
GOLD COAST,2003,3,81758,82944,164702,6050,5250,11300
GOLD COAST,2003,4,81607,82352,163959,5969,5881,11850
GOLD COAST,2003,5,74586,75359,149945,5646,5157,10803
GOLD COAST,2003,6,77318,75893,153211,6428,5836,12264
GOLD COAST,2003,7,86770,86623,173393,7563,6282,13845
GOLD COAST,2003,8,78233,79078,157311,6372,6545,12917
GOLD COAST,2003,9,92932,91194,184126,7102,6895,13997
GOLD COAST,2003,10,101543,103650,205193,6142,6443,12585
GOLD COAST,2003,11,100313,102391,202704,4488,5372,9860
GOLD COAST,2003,12,109118,105317,214435,4795,5667,10462
GOLD COAST,2004,1,117455,123164,240619,5066,4704,9770
GOLD COAST,2004,2,91847,92046,183893,4569,4838,9407
GOLD COAST,2004,3,97526,97617,195143,5519,5198,10717
GOLD COAST,2004,4,95892,95152,191044,5665,5521,11186
GOLD COAST,2004,5,100764,100700,201464,5667,5405,11072
GOLD COAST,2004,6,108343,108954,217297,5870,5691,11561
GOLD COAST,2004,7,120613,121374,241987,6390,5798,12188
GOLD COAST,2004,8,118597,120184,238781,6273,6618,12891
