AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL
MELBOURNE,2000,1,513364,486321,999685,138776,126770,265546
MELBOURNE,2000,2,491067,489398,980465,126905,106335,233240
MELBOURNE,2000,3,549175,553164,1102339,117411,127177,244588
MELBOURNE,2000,4,514001,513710,1027711,121332,131042,252374
MELBOURNE,2000,5,501060,504770,1005830,98769,119675,218444
MELBOURNE,2000,6,509828,525527,1035355,102972,124957,227929
MELBOURNE,2000,7,522892,504171,1027063,137987,118308,256295
MELBOURNE,2000,8,543623,545181,1088804,117696,121887,239583
MELBOURNE,2000,9,587775,611198,1198973,126498,126054,252552
MELBOURNE,2000,10,607466,572647,1180113,145846,121279,267125
MELBOURNE,2000,11,574704,573375,1148079,137152,136928,274080
MELBOURNE,2000,12,561085,578245,1139330,147547,164326,311873
MELBOURNE,2001,1,617640,592833,1210473,169109,152493,321602
MELBOURNE,2001,2,517762,511939,1029701,145578,118058,263636
MELBOURNE,2001,3,592581,600184,1192765,135343,146093,281436
MELBOURNE,2001,4,598913,600820,1199733,137170,145603,282773
MELBOURNE,2001,5,560544,558883,1119427,109605,131744,241349
MELBOURNE,2001,6,538821,555298,1094119,120697,139429,260126
MELBOURNE,2001,7,599694,594442,1194136,160488,135724,296212
MELBOURNE,2001,8,578353,576311,1154664,125942,135805,261747
MELBOURNE,2001,9,494873,496323,991196,137268,134285,271553
MELBOURNE,2001,10,500996,483214,984210,149864,117967,267831
MELBOURNE,2001,11,521118,513200,1034318,128589,127943,256532
MELBOURNE,2001,12,522691,538416,1061107,148224,162551,310775
MELBOURNE,2002,1,580831,551074,1131905,168339,154245,322584
MELBOURNE,2002,2,519722,507977,1027699,149598,124476,274074
MELBOURNE,2002,3,543351,562766,1106117,152356,156881,309237
MELBOURNE,2002,4,513909,500317,1014226,123765,129504,253269
MELBOURNE,2002,5,505588,501610,1007198,107018,125821,232839
MELBOURNE,2002,6,470175,486993,957168,113347,133486,246833
MELBOURNE,2002,7,541290,528862,1070152,154111,130785,284896
MELBOURNE,2002,8,535017,533705,1068722,128752,128883,257635
MELBOURNE,2002,9,548333,560591,1108924,136250,134719,270969
MELBOURNE,2002,10,595996,579916,1175912,158574,122869,281443
MELBOURNE,2002,11,547188,550935,1098123,138174,132791,270965
MELBOURNE,2002,12,548669,568334,1117003,147524,161483,309007
MELBOURNE,2003,1,578067,556128,1134195,166711,148063,314774
MELBOURNE,2003,2,520670,520133,1040803,147228,114253,261481
MELBOURNE,2003,3,578354,581268,1159622,133746,129527,263273
MELBOURNE,2003,4,549415,549432,1098847,107381,109427,216808
MELBOURNE,2003,5,551368,548871,1100239,89779,100828,190607
MELBOURNE,2003,6,528728,544608,1073336,98707,115855,214562
MELBOURNE,2003,7,592750,577728,1170478,139891,122158,262049
MELBOURNE,2003,8,588592,587153,1175745,123460,130276,253736
MELBOURNE,2003,9,609163,617490,1226653,138353,137802,276155
MELBOURNE,2003,10,652939,634182,1287121,162441,132267,294708
MELBOURNE,2003,11,635661,638947,1274608,150928,155924,306852
MELBOURNE,2003,12,628511,651331,1279842,162028,182501,344529
MELBOURNE,2004,1,656860,627798,1284658,189024,168144,357168
MELBOURNE,2004,2,597254,601902,1199156,168702,132445,301147
MELBOURNE,2004,3,660843,667740,1328583,154264,159916,314180
MELBOURNE,2004,4,635311,632452,1267763,154450,159451,313901
MELBOURNE,2004,5,633193,633363,1266556,128728,148120,276848
MELBOURNE,2004,6,623448,644929,1268377,136158,163641,299799
MELBOURNE,2004,7,685661,669275,1354936,194163,152010,346173
MELBOURNE,2004,8,678002,680488,1358490,148644,156785,305429
MELBOURNE,2004,9,690578,694845,1385423,166366,162238,328604
MELBOURNE,2004,10,709516,704727,1414243,194432,152197,346629
MELBOURNE,2004,11,678563,678876,1357439,172338,175154,347492
MELBOURNE,2004,12,654922,672404,1327326,185771,213294,399065
MELBOURNE,2005,1,667736,649337,1317073,224188,189259,413447
MELBOURNE,2005,2,617742,627651,1245393,189638,153315,342953
MELBOURNE,2005,3,702608,713175,1415783,179860,180907,360767
MELBOURNE,2005,4,681920,681424,1363344,165011,166036,331047
MELBOURNE,2005,5,649439,654348,1303787,137456,161326,298782
MELBOURNE,2005,6,631380,655685,1287065,147415,176352,323767
MELBOURNE,2005,7,711087,698285,1409372,207364,164140,371504
MELBOURNE,2005,8,695534,699834,1395368,162467,166456,328923
MELBOURNE,2005,9,726488,735874,1462362,177772,169975,347747
MELBOURNE,2005,10,734132,731126,1465258,202890,158173,361063
MELBOURNE,2005,11,714523,715258,1429781,170855,178943,349798
