AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL
PERTH,2000,1,148560,147709,296269,72336,64484,136820
PERTH,2000,2,121176,123532,244708,66068,52829,118897
PERTH,2000,3,144410,141810,286220,62341,66451,128792
PERTH,2000,4,148269,147877,296146,66159,66943,133102
PERTH,2000,5,136087,139535,275622,50973,59270,110243
PERTH,2000,6,137896,139956,277852,55167,64579,119746
PERTH,2000,7,137821,139379,277200,72134,59338,131472
PERTH,2000,8,135134,136587,271721,63905,62378,126283
PERTH,2000,9,161041,164073,325114,65804,62096,127900
PERTH,2000,10,159676,157928,317604,80981,62148,143129
PERTH,2000,11,143017,144481,287498,74412,69788,144200
PERTH,2000,12,155845,151323,307168,80718,79320,160038
PERTH,2001,1,158224,168586,326810,78222,75406,153628
PERTH,2001,2,129141,131577,260718,66945,51049,117994
PERTH,2001,3,151402,150394,301796,66823,67993,134816
PERTH,2001,4,152644,153570,306214,62964,67451,130415
PERTH,2001,5,143772,144280,288052,51849,59795,111644
PERTH,2001,6,142092,142943,285035,58802,67064,125866
PERTH,2001,7,145502,146823,292325,72886,62759,135645
PERTH,2001,8,146486,146179,292665,66192,65246,131438
PERTH,2001,9,118382,118527,236909,71776,66339,138115
PERTH,2001,10,114387,116998,231385,77573,58859,136432
PERTH,2001,11,119436,123339,242775,64610,57426,122036
PERTH,2001,12,140544,136575,277119,75393,73957,149350
PERTH,2002,1,141743,153902,295645,74537,71902,146439
PERTH,2002,2,129722,136090,265812,69733,55801,125534
PERTH,2002,3,136523,135185,271708,72426,67876,140302
PERTH,2002,4,127898,136539,264437,56825,68791,125616
PERTH,2002,5,130450,129651,260101,57756,62436,120192
PERTH,2002,6,118474,119392,237866,59217,67405,126622
PERTH,2002,7,141346,145697,287043,74196,63105,137301
PERTH,2002,8,136980,137579,274559,67477,67349,134826
PERTH,2002,9,142716,143178,285894,72429,68170,140599
PERTH,2002,10,156056,161700,317756,83677,60706,144383
PERTH,2002,11,143646,144100,287746,71636,64282,135918
PERTH,2002,12,162738,160010,322748,77846,80844,158690
PERTH,2003,1,158915,168237,327152,78546,72174,150720
PERTH,2003,2,136400,140060,276460,71789,56256,128045
PERTH,2003,3,156746,158020,314766,64852,65621,130473
PERTH,2003,4,152996,158277,311273,52889,56287,109176
PERTH,2003,5,157762,158397,316159,45320,50501,95821
PERTH,2003,6,146819,147447,294266,51203,56388,107591
PERTH,2003,7,166972,170268,337240,72230,60336,132566
PERTH,2003,8,155791,156477,312268,62888,63434,126322
PERTH,2003,9,167336,166888,334224,74790,68555,143345
PERTH,2003,10,180979,186216,367195,85503,63909,149412
PERTH,2003,11,167167,168497,335664,72981,69922,142903
PERTH,2003,12,186464,179492,365956,84625,85623,170248
PERTH,2004,1,181788,187989,369777,89842,86044,175886
PERTH,2004,2,159092,161941,321033,78288,60862,139150
PERTH,2004,3,182824,182467,365291,71796,74164,145960
PERTH,2004,4,185725,184449,370174,71155,77719,148874
PERTH,2004,5,170806,171814,342620,57656,66660,124316
PERTH,2004,6,166186,166933,333119,63867,71389,135256
PERTH,2004,7,196422,198875,395297,83609,72545,156154
PERTH,2004,8,186086,185234,371320,73432,72063,145495
PERTH,2004,9,192867,188619,381486,75466,65991,141457
PERTH,2004,10,207843,212219,420062,89361,73702,163063
PERTH,2004,11,189096,189525,378621,84746,78693,163439
PERTH,2004,12,197424,191067,388491,91475,96864,188339
PERTH,2005,1,189568,198016,387584,99674,88862,188536
