AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL
SYDNEY,2000,1,600155,618569,1218724,357512,362109,719621
SYDNEY,2000,2,605977,599847,1205824,328992,311707,640699
SYDNEY,2000,3,673539,662304,1335843,303770,337919,641689
SYDNEY,2000,4,643153,629291,1272444,327665,360247,687912
SYDNEY,2000,5,635685,621028,1256713,273093,319168,592261
SYDNEY,2000,6,644226,638600,1282826,280055,303432,583487
SYDNEY,2000,7,658341,674214,1332555,370847,338758,709605
SYDNEY,2000,8,705777,685351,1391128,305438,344118,649556
SYDNEY,2000,9,782169,741170,1523339,367096,351997,719093
SYDNEY,2000,10,721969,770102,1492071,382128,370847,752975
SYDNEY,2000,11,740580,726262,1466842,351774,370505,722279
SYDNEY,2000,12,735015,726986,1462001,385093,432953,818046
SYDNEY,2001,1,772825,753460,1526285,429519,413148,842667
SYDNEY,2001,2,644418,638229,1282647,347071,326321,673392
SYDNEY,2001,3,764867,750913,1515780,332452,368819,701271
SYDNEY,2001,4,771142,754067,1525209,336349,368688,705037
SYDNEY,2001,5,710334,695835,1406169,281788,327279,609067
SYDNEY,2001,6,679448,672652,1352100,305000,329844,634844
SYDNEY,2001,7,759651,765567,1525218,396511,376642,773153
SYDNEY,2001,8,742381,717127,1459508,325629,371671,697300
SYDNEY,2001,9,620948,619817,1240765,315765,329483,645248
SYDNEY,2001,10,616408,628258,1244666,339550,289458,629008
SYDNEY,2001,11,620157,615593,1235750,288534,300354,588888
SYDNEY,2001,12,625983,623216,1249199,351844,377254,729098
SYDNEY,2002,1,647747,629361,1277108,381444,371770,753214
SYDNEY,2002,2,592765,588710,1181475,328497,317977,646474
SYDNEY,2002,3,637468,625572,1263040,336029,359582,695611
SYDNEY,2002,4,606441,591864,1198305,300847,333360,634207
SYDNEY,2002,5,596071,587439,1183510,272660,311046,583706
SYDNEY,2002,6,565985,557427,1123412,281121,311137,592258
SYDNEY,2002,7,648012,660569,1308581,369163,338385,707548
