AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL,PASSENGERS_IN,PASSENGERS_OUT,PASSENGERS_TOTAL
ADELAIDE,2000,1,152690,151419,304109,12600,10158,22758,165290,161577,326867
ADELAIDE,2000,2,148268,148009,296277,12498,8095,20593,160766,156104,316870
ADELAIDE,2000,3,171672,175963,347635,10494,10812,21306,182166,186775,368941
ADELAIDE,2000,4,168893,170467,339360,11000,12737,23737,179893,183204,363097
ADELAIDE,2000,5,160803,164203,325006,7765,10890,18655,168568,175093,343661
ADELAIDE,2000,6,161061,159602,320663,9452,9579,19031,170513,169181,339694
ADELAIDE,2000,7,162464,161958,324422,13181,12116,25297,175645,174074,349719
ADELAIDE,2000,8,166852,166670,333522,11577,11424,23001,178429,178094,356523
ADELAIDE,2000,9,172638,180314,352952,12581,11343,23924,185219,191657,376876
ADELAIDE,2000,10,182398,170610,353008,13840,9895,23735,196238,180505,376743
ADELAIDE,2000,11,161199,159817,321016,12124,10650,22774,173323,170467,343790
ADELAIDE,2000,12,174796,170393,345189,12423,12865,25288,187219,183258,370477
ADELAIDE,2001,1,178842,182742,361584,12908,11239,24147,191750,193981,385731
ADELAIDE,2001,2,153902,151966,305868,10674,8310,18984,164576,160276,324852
ADELAIDE,2001,3,184779,186217,370996,9991,10080,20071,194770,196297,391067
ADELAIDE,2001,4,188110,192650,380760,9402,10934,20336,197512,203584,401096
ADELAIDE,2001,5,183637,185569,369206,7358,10058,17416,190995,195627,386622
ADELAIDE,2001,6,179919,180333,360252,9350,9540,18890,189269,189873,379142
ADELAIDE,2001,7,202476,201088,403564,11404,10468,21872,213880,211556,425436
ADELAIDE,2001,8,186452,189084,375536,9823,9193,19016,196275,198277,394552
ADELAIDE,2001,9,159439,158795,318234,10938,9440,20378,170377,168235,338612
ADELAIDE,2001,10,159531,155173,314704,12933,9145,22078,172464,164318,336782
ADELAIDE,2001,11,153176,153714,306890,9686,8967,18653,162862,162681,325543
ADELAIDE,2001,12,157935,156951,314886,9894,10109,20003,167829,167060,334889
ADELAIDE,2002,1,158681,159105,317786,10638,9181,19819,169319,168286,337605
ADELAIDE,2002,2,153111,150565,303676,9245,7261,16506,162356,157826,320182
ADELAIDE,2002,3,175081,175524,350605,9520,9248,18768,184601,184772,369373
ADELAIDE,2002,4,160797,163575,324372,8064,9920,17984,168861,173495,342356
ADELAIDE,2002,5,161306,162698,324004,7399,9532,16931,168705,172230,340935
ADELAIDE,2002,6,146834,144196,291030,8463,9154,17617,155297,153350,308647
ADELAIDE,2002,7,169272,169260,338532,11119,9866,20985,180391,179126,359517
ADELAIDE,2002,8,165574,166644,332218,10171,9170,19341,175745,175814,351559
ADELAIDE,2002,9,171831,174070,345901,10182,9382,19564,182013,183452,365465
ADELAIDE,2002,10,188974,184900,373874,11179,8100,19279,200153,193000,393153
ADELAIDE,2002,11,171460,171331,342791,9875,7582,17457,181335,178913,360248
ADELAIDE,2002,12,173159,176362,349521,9593,10507,20100,182752,186869,369621
ADELAIDE,2003,1,171655,172757,344412,11042,9146,20188,182697,181903,364600
ADELAIDE,2003,2,160695,160604,321299,9785,6665,16450,170480,167269,337749
ADELAIDE,2003,3,182599,185091,367690,8401,8183,16584,191000,193274,384274
ADELAIDE,2003,4,175685,177760,353445,6541,7098,13639,182226,184858,367084
ADELAIDE,2003,5,174160,174837,348997,4880,6339,11219,179040,181176,360216
ADELAIDE,2003,6,162027,163001,325028,5811,6511,12322,167838,169512,337350
ADELAIDE,2003,7,186092,184872,370964,9592,8398,17990,195684,193270,388954
ADELAIDE,2003,8,183544,183635,367179,9165,8981,18146,192709,192616,385325
ADELAIDE,2003,9,188388,190824,379212,9426,8703,18129,197814,199527,397341
ADELAIDE,2003,10,213364,209598,422962,11750,7694,19444,225114,217292,442406
ADELAIDE,2003,11,189252,189429,378681,10046,9603,19649,199298,199032,398330
ADELAIDE,2003,12,201536,202690,404226,11138,11951,23089,212674,214641,427315
